Angle,Dist,Token
98.36404,264.282,1
98.07655,264.3582,1
97.36951,265.2946,1
97.33991,265.3008,1
97.19175,265.4284,1
97.16373,265.6464,1
97.13993,265.8068,1
96.96104,265.8439,1
96.90318,265.8515,1
96.89738,266.1508,1
96.30112,266.1766,1
96.26845,266.575,1
96.25361,266.5952,1
96.24355,266.9874,1
96.19891,267.2476,1
96.13292,267.4715,1
96.01921,267.7261,1
95.89979,268.0378,1
95.73502,268.0606,1
95.63326,268.2238,1
95.61303,268.4031,1
95.50149,268.6005,1
95.29008,268.6727,1
95.16786,269.0228,1
95.12341,269.0771,1
85.3152,261.5272,2
85.19852,263.1387,2
84.99785,263.2128,2
84.99687,263.2613,2
84.74656,263.5285,2
84.59918,264.1827,2
84.53403,264.5246,2
84.48083,264.534,2
84.42271,264.9363,2
84.1369,265.0472,2
84.01283,265.0887,2
83.88505,265.1801,2
83.87096,265.2664,2
83.81304,265.5922,2
83.75189,265.9986,2
83.74509,266.1752,2
83.74065,266.5,2
83.65453,267.124,2
83.62758,267.1563,2
83.53994,267.399,2
83.44931,267.5892,2
83.39265,267.6607,2
83.09968,267.7107,2
82.31216,269.0506,2
82.20901,269.3293,2
111.5437,250.5125,3
110.1853,251.6133,3
110.1635,252.3693,3
110.0341,252.4728,3
109.6794,252.5356,3
109.6779,252.5599,3
109.6336,252.7301,3
109.5869,253.1798,3
109.4675,253.3703,3
109.4139,253.5034,3
109.0162,253.5596,3
108.9533,253.8553,3
108.9389,253.9547,3
108.7589,254.0891,3
108.7419,254.1638,3
108.716,254.4012,3
108.6923,254.4897,3
108.5261,254.8501,3
108.3842,255.4941,3
107.9623,255.8071,3
107.8937,255.9785,3
107.8351,255.9888,3
107.6308,256.4001,3
107.6162,256.6773,3
107.5315,256.9611,3
